F,Weekday,Booked aud by core courses,Time,Natural Language Processing and Machine Learning,Computer Graphics in Game Development,Advanced agile software design,Modern Application Production,Design Patterns,Economics of Entrepreneurship in IT Industry,Enterprise programming on Javascript - Advanced,Total Virtualization,Product's highly loaded architecture,DevOps,Human Computer Interaction Design for AI,Technical Writing and Communication,Introduction to  Public Speaking for IT-specialist,Advanced Topics in Software Testing,Critical Thinking for IT-specialist,Reading Skills  for IT-specialist,Introduction to IT Entrepreneurship,Programming Windows Services with C++,Advanced Academic Research- Writing and Performance,Volunteer and Crowd-based Approaches in Computing,Design Fiction,Tech Startup Design,Business-track,Personal Efficiency Skills of IT-specialist,Programming in Haskell,Consensus theory and concurrent programming on a shared memory,Functional Programming and Scala Language,Practical Artificial Intelligence,Introduction to Career Development for IT-specialist,Mobile development using QT,Psychology of IT-specialist,Russian as a foreign language,Software Requirements and Specifications,,,,,,
20/01/2020 ,Monday,,09:00-10:30,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Iouri Kotorov
103",,,,,,,,,"Russian as a foreign language (Beginners) (8:00 - 9:30)
Svetlana Sokolova
305",,,,,,,
,,,10:35-12:05,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Iouri Kotorov
103",,,,,,,,,,,,,,,,
,,,12:10-13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14:10-15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15:45-17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,"Functional Programming and Scala Language (Lab)
Eugene Zuev
101",,,,,,,,,,,,
,,,18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2020 ,Tuesday,,09:00-10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10:35-12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12:10-13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14:10-15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15:45-17:15,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Iouri Kotorov
102",,,,,,,,,,,,,,,,
